Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Mileage_Per_Year
730,BMW 3 Series 320d Luxury Line,Kochi,2015,58390,First,18.88,1995.0,184.0,5.0,19.86,1,0,0,1,0,9,2.0977777777777775
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,24.0,1186.0,73.97,5.0,4.9,1,0,0,0,1,7,3.4285714285714284
732,Honda City i-VTEC V,Delhi,2014,55818,Second,17.4,1497.0,117.3,5.0,5.7,0,0,1,0,1,10,1.7399999999999998
733,Maruti Swift 1.3 VXi,Chennai,2006,97800,Third,16.1,1197.0,74.0,5.286452057152694,1.75,0,0,1,0,1,18,0.8944444444444445
734,Maruti Swift VDI BSIV,Kolkata,2012,52241,First,25.2,1248.0,74.0,5.0,2.9,1,0,0,0,1,12,2.1
735,Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,First,27.39,1248.0,74.0,5.0,7.83,1,0,0,0,1,6,4.565
736,Tata Safari Storme 2012-2015 LX,Kochi,2015,40611,First,14.0,2179.0,138.1,7.0,8.15,1,0,0,0,1,9,1.5555555555555556
737,Hyundai Accent GLS,Bangalore,2008,72000,Second,13.2,1495.0,94.0,5.0,2.0,0,0,1,0,1,16,0.825
738,Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,First,25.2,1248.0,74.0,5.0,6.25,1,0,0,0,1,8,3.15
740,Tata Nano XTA,Coimbatore,2016,24941,First,21.9,624.0,37.48,4.0,3.19,0,0,1,1,0,8,2.7375
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,25.47,1248.0,88.5,7.0,7.75,1,0,0,0,1,7,3.6385714285714283
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,23.1,998.0,67.04,5.0,3.2,0,0,1,1,0,10,2.31
743,Maruti Swift VDI BSIV,Delhi,2015,63000,First,25.2,1248.0,74.0,5.0,4.9,1,0,0,0,1,9,2.8
744,Volkswagen Vento Petrol Highline,Kochi,2012,121377,First,15.04,1598.0,103.6,5.0,3.8,0,0,1,0,1,12,1.2533333333333332
745,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,2009,100970,First,15.5,1896.0,105.0,5.0,4.0,1,0,0,1,0,15,1.0333333333333334
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,20.7,1496.0,113.98,5.0,23.5,1,0,0,1,0,10,2.07
747,Tata Indica V2 DLS,Chennai,2008,77650,First,17.2,1396.0,53.5,5.0,1.15,1,0,0,0,1,16,1.075
749,Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Second,0.0,1197.0,74.0,5.286452057152694,26.5,1,0,0,1,0,16,0.0
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,18.0,1497.0,117.3,5.0,10.65,0,0,1,1,0,9,2.0
751,Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,First,16.36,2179.0,187.7,5.0,35.68,1,0,0,1,0,8,2.045
752,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,First,15.0,2143.0,204.0,5.0,31.94,1,0,0,1,0,7,2.142857142857143
753,Chevrolet Cruze LTZ,Chennai,2011,73000,Third,18.3,1991.0,147.9,5.0,4.2,1,0,0,0,1,13,1.4076923076923078
754,Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,First,15.1,2179.0,140.0,7.0,9.9,1,0,0,0,1,9,1.6777777777777778
755,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,First,11.74,1796.0,186.0,5.0,15.46,0,0,1,1,0,10,1.174
756,Honda Jazz VX,Kochi,2018,20024,First,18.2,1199.0,88.7,5.0,8.46,0,0,1,0,1,6,3.033333333333333
757,Toyota Etios G,Kolkata,2013,42103,First,16.78,1496.0,88.73,5.0,3.25,0,0,1,0,1,11,1.5254545454545456
758,Maruti Alto LXi BSIII,Hyderabad,2012,67147,First,19.7,796.0,46.3,5.0,2.6,0,0,1,0,1,12,1.6416666666666666
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,First,20.4,1197.0,81.8,5.0,5.2,0,0,1,0,1,8,2.55
760,Maruti A-Star Vxi,Pune,2009,85000,Third,19.0,998.0,66.1,5.0,1.8,0,0,1,0,1,15,1.2666666666666666
761,Tata Nano Lx BSIV,Chennai,2011,35000,First,25.4,624.0,37.48,4.0,1.6,0,0,1,0,1,13,1.9538461538461538
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,25.5,1498.0,99.0,5.0,2.5,1,0,0,0,1,9,2.8333333333333335
763,Fiat Linea Emotion,Jaipur,2011,48500,First,16.0,1368.0,90.0,5.0,2.5,0,0,1,0,1,13,1.2307692307692308
764,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,First,18.16,1196.0,86.8,5.0,6.7,0,0,1,0,1,7,2.5942857142857143
765,Maruti Baleno LXI,Hyderabad,2005,92450,First,15.4,1590.0,94.0,5.0,1.2,0,0,1,0,1,19,0.8105263157894737
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,First,18.88,1995.0,184.0,5.0,35.55,1,0,0,1,0,8,2.36
767,Chevrolet Cruze LTZ,Jaipur,2017,51087,First,17.9,1998.0,163.7,5.0,7.75,1,0,0,0,1,7,2.557142857142857
768,Mahindra Scorpio 2.6 DX,Chennai,2005,50000,First,12.7,2609.0,116.6,8.0,1.94,1,0,0,0,1,19,0.6684210526315789
769,Tata Indica V2 eLS,Hyderabad,2016,73000,First,25.0,1396.0,69.0,5.0,2.2,1,0,0,0,1,8,3.125
770,Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,First,18.1,1991.0,147.9,4.0,3.8,1,0,0,1,0,13,1.3923076923076925
771,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,First,12.8,2494.0,102.0,8.0,15.65,1,0,0,0,1,8,1.6
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,First,19.27,2143.0,167.62,5.0,39.47,1,0,0,1,0,6,3.2116666666666664
773,Maruti Ritz VXi,Kolkata,2011,50000,Second,18.5,1197.0,85.8,5.0,1.5,0,0,1,0,1,13,1.4230769230769231
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,First,12.8,2494.0,102.0,8.0,8.85,1,0,0,0,1,11,1.1636363636363638
775,Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Second,12.55,2982.0,168.5,7.0,17.9,1,0,0,0,1,11,1.1409090909090909
776,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Second,16.95,1197.0,78.9,5.0,5.08,0,0,1,1,0,10,1.6949999999999998
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,First,22.32,1582.0,126.32,5.0,6.25,1,0,0,0,1,12,1.86
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,First,15.73,1968.0,174.33,5.0,22.75,1,0,0,1,0,9,1.7477777777777779
779,Chevrolet Beat LS,Kolkata,2010,17088,First,18.6,1199.0,79.4,5.0,1.46,0,0,1,0,1,14,1.3285714285714287
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Second,17.8,1399.0,68.0,5.0,2.05,1,0,0,0,1,17,1.0470588235294118
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,First,20.0,1399.0,68.0,5.0,4.08,1,0,0,0,1,10,2.0
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,First,23.1,998.0,67.04,5.0,4.55,0,0,1,1,0,10,2.31
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,First,20.0,2143.0,107.3,5.0,14.0,1,0,0,1,0,11,1.8181818181818181
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591.0,121.3,5.0,10.9,0,0,1,0,1,8,1.975
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,First,18.9,998.0,67.1,5.0,2.45,0,0,1,0,1,14,1.3499999999999999
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,First,10.0,2148.0,170.0,5.0,15.8,1,0,0,1,0,11,0.9090909090909091
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,First,18.88,1499.0,110.4,5.0,8.25,0,0,1,0,1,7,2.697142857142857
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Second,13.73,1995.0,148.0,5.0,8.5,1,0,0,1,0,11,1.2481818181818183
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,First,16.0,2179.0,140.0,7.0,15.54,1,0,0,0,1,8,2.0
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,First,16.8,796.0,34.2,8.0,2.35,0,0,1,0,1,11,1.5272727272727273
791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,22.5,998.0,67.04,5.0,4.32,0,0,1,0,1,9,2.5
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Second,13.1,2499.0,141.0,7.0,3.9,1,0,0,0,1,16,0.81875
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Second,22.32,1582.0,126.32,5.0,5.2,1,0,0,0,1,13,1.716923076923077
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,First,18.6,1197.0,81.83,5.0,5.85,0,0,1,0,1,6,3.1
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Second,16.02,1373.0,93.7,7.0,6.25,0,0,1,0,1,11,1.4563636363636363
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179.0,155.0,7.0,17.63,1,0,0,1,0,5,2.8
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,First,23.65,1248.0,88.5,5.0,9.75,1,0,0,0,1,7,3.3785714285714286
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,First,18.1,3498.0,306.0,2.0,55.0,0,0,1,1,0,9,2.011111111111111
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,First,22.07,1199.0,73.9,5.0,4.1,1,0,0,0,1,13,1.6976923076923076
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,First,12.55,2982.0,168.5,7.0,11.99,1,0,0,0,1,13,0.9653846153846154
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,First,16.0,2179.0,140.0,7.0,13.54,1,0,0,0,1,7,2.2857142857142856
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,56.0,1,0,0,1,0,8,2.2375
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,First,18.7,1199.0,88.7,5.0,6.5,0,0,1,0,1,8,2.3375
804,Maruti Swift Dzire VDI,Pune,2013,88000,First,23.4,1248.0,74.0,5.0,4.75,1,0,0,0,1,11,2.127272727272727
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,First,17.01,1591.0,121.3,5.0,5.6,0,0,1,0,1,10,1.701
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,First,10.91,3198.0,197.0,7.0,29.2,1,0,0,1,0,7,1.5585714285714285
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,First,18.6,1197.0,81.83,5.0,6.35,0,0,1,0,1,6,3.1
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,First,16.8,1497.0,116.3,5.0,4.95,0,0,1,0,1,11,1.5272727272727273
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498.0,98.6,5.0,8.5,1,0,0,0,1,6,4.566666666666666
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,First,17.1,1591.0,121.3,5.0,4.5,0,0,1,0,1,11,1.5545454545454547
811,Honda Mobilio S i DTEC,Chennai,2015,65000,First,24.2,1498.0,98.6,7.0,5.5,1,0,0,0,1,9,2.6888888888888887
812,Maruti Ertiga ZDI,Kochi,2013,39929,First,20.77,1248.0,88.8,7.0,6.56,1,0,0,0,1,11,1.8881818181818182
813,Maruti Alto K10 LXI,Pune,2014,49000,First,24.07,998.0,67.1,5.0,2.3,0,0,1,0,1,10,2.407
814,Toyota Qualis FS B2,Pune,2004,77757,Second,13.1,2446.0,75.0,10.0,3.5,1,0,0,0,1,20,0.655
815,Hyundai i10 Sportz,Kochi,2016,21456,First,20.36,1197.0,78.9,5.0,4.55,0,0,1,0,1,8,2.545
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Second,17.0,1896.0,105.0,5.0,7.75,1,0,0,1,0,15,1.1333333333333333
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Second,18.6,1197.0,81.83,5.0,5.25,0,0,1,0,1,9,2.066666666666667
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,First,11.5,2993.0,235.0,5.0,23.29,1,0,0,1,0,11,1.0454545454545454
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,First,22.69,1995.0,190.0,5.0,23.99,1,0,0,1,0,8,2.83625
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,First,14.49,1399.0,92.7,5.0,1.79,0,0,1,0,1,14,1.035
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Second,14.21,2143.0,203.0,5.0,13.9,1,0,0,1,0,13,1.093076923076923
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,First,17.68,1968.0,174.33,5.0,18.95,1,0,0,1,0,11,1.6072727272727272
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,First,20.51,998.0,67.04,5.0,2.49,0,0,1,0,1,10,2.051
824,Renault KWID RXT,Jaipur,2016,4152,First,25.17,799.0,53.3,5.0,3.15,0,0,1,0,1,8,3.14625
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498.0,108.62,5.0,6.45,1,0,0,0,1,7,3.0942857142857143
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07,1199.0,73.9,5.0,4.25,1,0,0,0,1,11,2.0063636363636363
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74,796.0,47.3,5.0,2.75,0,0,1,0,1,10,2.274
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6,1197.0,81.83,5.0,7.14,0,0,1,0,1,7,2.6571428571428575
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0,1197.0,80.0,5.0,3.5,0,0,1,0,1,12,1.4166666666666667
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54,1396.0,88.73,5.0,7.3,1,0,0,0,1,7,3.2199999999999998
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,First,20.51,998.0,67.04,5.0,2.75,0,0,1,0,1,10,2.051
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Second,22.54,1396.0,88.73,5.0,8.2,1,0,0,0,1,7,3.2199999999999998
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,First,17.21,1197.0,103.6,5.0,6.51,0,0,1,1,0,9,1.9122222222222223
835,Ford Figo Diesel Titanium,Pune,2015,92000,First,20.0,1399.0,68.05,5.0,4.25,1,0,0,0,1,9,2.2222222222222223
836,Maruti Swift ZXI,Coimbatore,2014,33372,Second,18.6,1197.0,85.8,5.0,6.21,0,0,1,0,1,10,1.86
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,First,24.0,1120.0,70.0,5.0,4.58,1,0,0,0,1,8,3.0
838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179.0,118.3,7.0,7.5,1,0,0,0,1,8,1.7525
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,First,19.81,1086.0,68.05,5.0,4.09,0,0,1,0,1,10,1.9809999999999999
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,First,19.3,1968.0,141.0,5.0,10.75,1,0,0,1,0,10,1.9300000000000002
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,First,15.97,2993.0,258.0,7.0,41.5,1,0,0,1,0,10,1.597
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,First,23.1,998.0,67.04,5.0,4.4,0,0,1,1,0,10,2.31
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Second,20.54,1598.0,103.6,5.0,6.25,1,0,0,0,1,11,1.8672727272727272
845,BMW 3 Series 320d Highline,Pune,2011,99606,Second,16.07,1995.0,181.0,5.0,10.5,1,0,0,1,0,13,1.2361538461538462
846,Maruti Ertiga ZDI,Mumbai,2014,64000,First,20.77,1248.0,88.8,7.0,7.25,1,0,0,0,1,10,2.077
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,First,20.0,1399.0,68.05,5.0,3.2,1,0,0,0,1,11,1.8181818181818181
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,First,16.47,1198.0,74.0,5.0,3.95,0,0,1,0,1,10,1.6469999999999998
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Second,16.77,2967.0,241.38,5.0,12.07,1,0,0,1,0,15,1.1179999999999999
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393.0,147.8,7.0,18.6,1,0,0,0,1,7,1.9542857142857142
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,First,22.32,1582.0,126.3,5.0,5.7,1,0,0,1,0,11,2.0290909090909093
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,First,17.92,1086.0,62.1,5.0,1.75,0,0,1,0,1,11,1.6290909090909091
853,Audi A4 2.0 TDI,Delhi,2011,46000,Second,16.55,1968.0,147.51,5.0,10.99,1,0,0,1,0,13,1.2730769230769232
854,Audi A4 2.0 TDI,Kolkata,2012,47346,First,16.55,1968.0,147.51,5.0,14.5,1,0,0,1,0,12,1.3791666666666667
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,First,17.0,1896.0,105.0,5.0,3.11,1,0,0,0,1,15,1.1333333333333333
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,First,13.7,1997.0,153.86,5.0,13.96,0,0,1,1,0,9,1.5222222222222221
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,First,22.32,1582.0,126.32,5.0,7.11,1,0,0,0,1,9,2.48
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,First,24.5,1498.0,98.6,7.0,6.9,1,0,0,0,1,10,2.45
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,First,18.6,1197.0,81.83,5.0,7.77,0,0,1,0,1,6,3.1
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Second,12.8,2494.0,102.0,8.0,5.5,1,0,0,0,1,13,0.9846153846153847
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,First,18.6,1197.0,81.83,5.0,5.35,0,0,1,0,1,10,1.86
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Second,13.6,2523.0,63.0,7.0,4.5,1,0,0,0,1,13,1.0461538461538462
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,First,20.34,1498.0,103.2,5.0,4.75,1,0,0,0,1,10,2.034
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,First,16.36,2179.0,187.7,5.0,32.8,1,0,0,1,0,9,1.8177777777777777
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,First,17.3,993.0,60.0,5.0,0.7,0,0,1,0,1,19,0.9105263157894737
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0,2987.0,258.0,5.0,50.29,1,0,0,1,0,6,2.1666666666666665
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Second,11.5,2982.0,171.0,7.0,10.99,1,0,0,0,1,14,0.8214285714285714
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,First,18.9,1197.0,82.0,5.0,5.57,0,0,1,1,0,9,2.0999999999999996
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186.0,73.97,5.0,5.9,1,0,0,0,1,6,4.233333333333333
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,First,15.29,1591.0,121.3,5.0,9.43,0,0,1,0,1,8,1.91125
871,Hyundai i10 Sportz,Bangalore,2010,69000,First,20.36,1197.0,78.9,5.0,2.9,0,0,1,0,1,14,1.4542857142857142
872,Honda Brio S MT,Delhi,2016,32700,First,19.4,1198.0,86.8,5.0,3.68,0,0,1,0,1,8,2.425
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,First,12.55,2982.0,168.5,7.0,21.67,1,0,0,1,0,9,1.3944444444444446
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,First,16.55,1968.0,140.0,5.0,12.5,1,0,0,1,0,13,1.2730769230769232
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755.0,171.5,7.0,19.92,1,0,0,1,0,6,1.8933333333333333
876,Honda City i DTEC VX,Jaipur,2014,71649,First,25.1,1498.0,98.6,5.0,6.75,1,0,0,0,1,10,2.5100000000000002
877,Honda City i DTEC VX,Kochi,2015,80606,First,25.1,1498.0,98.6,5.0,6.96,1,0,0,0,1,9,2.788888888888889
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999.0,67.0,5.0,3.25,0,0,1,0,1,7,3.1
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,First,28.4,1248.0,74.0,5.0,8.65,1,0,0,0,1,6,4.733333333333333
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998.0,67.04,5.0,5.0,0,0,1,1,0,7,3.3000000000000003
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,First,15.1,2179.0,140.0,7.0,5.5,1,0,0,0,1,13,1.1615384615384614
882,Hyundai i10 Magna,Jaipur,2010,66770,Second,20.36,1197.0,78.9,5.0,2.6,0,0,1,0,1,14,1.4542857142857142
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,First,19.81,1086.0,68.05,5.0,3.41,0,0,1,0,1,10,1.9809999999999999
884,Maruti Dzire VXI,Kolkata,2011,46687,First,22.0,1197.0,81.8,5.0,2.7,0,0,1,0,1,13,1.6923076923076923
885,Maruti Grand Vitara AT,Chennai,2008,77000,Fourth & Above,9.7,1995.0,163.5,5.0,5.5,0,0,1,1,0,16,0.60625
886,Audi TT 40 TFSI,Kolkata,2012,7000,First,14.33,1984.0,226.6,4.0,35.0,0,0,1,1,0,12,1.1941666666666666
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Second,14.74,1991.0,184.0,5.0,9.75,0,0,1,1,0,13,1.133846153846154
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,First,21.64,1461.0,84.8,5.0,4.25,1,0,0,0,1,11,1.9672727272727273
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,First,18.9,998.0,67.1,5.0,3.2,0,0,1,0,1,9,2.0999999999999996
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Second,23.4,1248.0,74.0,5.0,6.85,1,0,0,0,1,10,2.34
891,Honda Amaze S i-Dtech,Delhi,2015,48000,First,25.8,1498.0,98.6,5.0,4.5,1,0,0,0,1,9,2.8666666666666667
892,Maruti Swift ZDI,Delhi,2012,52000,First,28.4,1248.0,74.0,5.0,3.55,1,0,0,0,1,12,2.3666666666666667
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,First,10.5,2609.0,120.0,7.0,3.6,1,0,0,0,1,16,0.65625
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,First,13.0,2143.0,201.1,5.0,21.8,1,0,0,1,0,9,1.4444444444444444
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Second,13.0,2982.0,168.5,7.0,13.5,1,0,0,0,1,12,1.0833333333333333
897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799.0,53.64,5.0,2.66,0,0,1,0,1,8,2.8375
898,Honda City V MT,Delhi,2010,43000,Second,16.8,1497.0,116.3,5.0,3.75,0,0,1,0,1,14,1.2
899,Toyota Camry Hybrid,Pune,2018,17000,First,19.16,2494.0,158.2,5.0,32.0,0,0,1,1,0,6,3.1933333333333334
900,Honda City i DTec V,Coimbatore,2016,60805,First,26.0,1498.0,98.6,5.0,8.07,1,0,0,0,1,8,3.25
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,First,19.33,1968.0,138.1,5.0,5.64,1,0,0,0,1,12,1.6108333333333331
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,First,17.68,1968.0,174.33,5.0,23.99,1,0,0,1,0,11,1.6072727272727272
903,Maruti Ertiga VDI,Coimbatore,2016,85827,First,20.77,1248.0,88.76,7.0,7.5,1,0,0,0,1,8,2.59625
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,First,19.27,2143.0,167.62,5.0,27.0,1,0,0,1,0,8,2.40875
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Second,19.3,1248.0,73.9,5.0,2.85,1,0,0,0,1,16,1.20625
906,Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,First,19.01,1461.0,108.45,5.0,6.35,1,0,0,0,1,12,1.5841666666666667
907,Maruti Ritz VDi,Hyderabad,2010,79324,First,21.1,1248.0,73.9,5.0,3.3,1,0,0,0,1,14,1.5071428571428573
908,Maruti Swift Dzire VXI,Bangalore,2013,38623,First,19.1,1197.0,85.8,5.0,5.0,0,0,1,0,1,11,1.7363636363636366
909,Maruti Swift ZDi,Coimbatore,2014,59923,First,22.9,1248.0,74.0,5.0,6.46,1,0,0,0,1,10,2.29
910,Hyundai EON Sportz,Jaipur,2017,23360,First,21.1,814.0,55.2,5.0,3.75,0,0,1,0,1,7,3.0142857142857147
911,Maruti Zen VXI BSII,Kochi,2003,61495,Third,17.3,993.0,60.0,5.0,1.52,0,0,1,0,1,21,0.8238095238095239
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,15.1,1196.0,73.0,7.0,3.61,0,0,1,0,1,12,1.2583333333333333
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,First,14.16,1968.0,174.3,5.0,43.74,1,0,0,1,0,7,2.0228571428571427
914,Audi Q3 2.0 TDI,Chennai,2014,60000,First,15.73,1968.0,174.33,5.0,20.0,1,0,0,1,0,10,1.573
916,Maruti Swift Dzire VDi,Hyderabad,2010,130000,First,19.3,1248.0,73.9,5.0,3.65,1,0,0,0,1,14,1.3785714285714286
917,Tata Sumo DX,Mumbai,2013,20000,First,14.07,1978.0,83.1,10.0,5.25,1,0,0,0,1,11,1.279090909090909
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,First,15.97,2993.0,258.0,7.0,58.0,1,0,0,1,0,8,1.99625
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,18.0,1497.0,117.3,5.0,8.65,0,0,1,1,0,9,2.0
920,Tata Indigo eCS eLX BS IV,Delhi,2015,150000,First,25.0,1396.0,69.01,5.0,2.5,1,0,0,0,1,9,2.7777777777777777
921,Volkswagen Vento TSI,Chennai,2014,28000,First,16.93,1197.0,103.6,5.0,7.75,0,0,1,1,0,10,1.693
922,Maruti Celerio VXI,Bangalore,2015,74000,First,23.1,998.0,67.04,5.0,4.15,0,0,1,0,1,9,2.566666666666667
